,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Male,Delta 15 N (o/oo),Delta 13 C (o/oo),Island_Biscoe,Island_Dream,Island_Torgersen
237,1,735,45.4,14.6,211.0,4800.0,0,8.24515,-25.46782,1,0,0
146,1,15,40.2,17.0,176.0,3450.0,0,9.30722,-25.61039,0,0,1
75,1,13,52.5,15.6,221.0,5450.0,1,8.28601,-26.27573,1,0,0
332,1,386,43.2,18.5,192.0,4100.0,1,8.97025,-26.03679,0,1,0
7,0,392,42.7,13.7,208.0,3950.0,0,8.14567,-26.59467,1,0,0
273,0,10,43.5,18.1,202.0,3400.0,0,9.37608,-24.40753,0,1,0
65,1,729,42.4,17.3,181.0,3600.0,0,9.35138,-24.6879,0,1,0
92,1,387,49.5,16.2,229.0,5800.0,1,8.49854,-26.74809,1,0,0
229,1,17,40.6,17.2,187.0,3475.0,1,9.23408,-26.01549,0,1,0
93,0,15,39.7,17.9,193.0,4250.0,1,9.25769,-25.88798,0,1,0
190,1,390,43.2,14.5,208.0,4450.0,0,8.48367,-26.86485,1,0,0
47,1,379,37.3,17.8,191.0,3350.0,0,8.32718,-26.38396,0,1,0
20,1,15,40.2,20.1,200.0,3975.0,1,8.95998,-26.32601,0,1,0
154,1,393,47.7,15.0,216.0,4750.0,0,8.53018,-26.72751,1,0,0
192,1,389,35.1,19.4,193.0,4200.0,1,8.90002,-26.46254,0,0,1
261,1,21,41.7,14.7,210.0,4700.0,0,8.12311,-26.44815,1,0,0
131,1,9,44.9,13.8,212.0,4750.0,0,8.11238,-26.20372,1,0,0
9,1,735,46.1,13.2,211.0,4500.0,0,7.993,-25.5139,1,0,0
121,1,387,48.2,15.6,221.0,5100.0,1,8.24651,-26.66958,1,0,0
295,1,746,36.4,17.0,195.0,3325.0,0,9.17847,-25.23061,0,1,0
56,1,13,35.2,15.9,186.0,3050.0,0,8.81668,-25.95399,0,0,1
153,1,388,36.3,19.5,190.0,3800.0,1,8.57087,-26.22227,0,1,0
60,1,740,50.5,19.6,201.0,4050.0,1,9.8059,-24.7294,0,1,0
202,1,383,41.6,18.0,192.0,3950.0,1,8.85562,-26.09294,1,0,0
223,1,388,38.9,18.8,190.0,3600.0,0,8.36936,-26.11199,0,1,0
220,1,8,45.7,17.3,193.0,3600.0,0,9.415,-24.805,0,1,0
79,1,387,44.0,13.6,208.0,4350.0,0,8.01979,-26.68311,1,0,0
18,1,4,51.5,16.3,230.0,5500.0,1,8.78557,-25.76147,1,0,0
29,1,734,46.1,18.2,178.0,3250.0,0,8.85664,-24.55644,0,1,0
279,1,733,42.8,14.2,209.0,4700.0,0,7.63452,-25.46327,1,0,0
63,1,746,39.6,18.8,190.0,4600.0,1,9.49106,-24.10255,0,1,0
274,1,387,45.2,13.8,215.0,4750.0,0,8.24694,-26.65359,1,0,0
216,1,390,40.1,18.9,188.0,4300.0,1,8.51362,-26.55602,1,0,0
95,0,371,49.5,19.0,200.0,3800.0,1,9.63074,-24.34684,0,1,0
264,1,18,41.1,17.5,190.0,3900.0,1,8.94365,-26.06943,0,1,0
201,1,13,49.4,15.8,216.0,4925.0,1,8.03624,-26.06594,1,0,0
137,1,735,50.0,16.3,230.0,5700.0,1,8.14756,-25.39369,1,0,0
275,1,735,42.0,13.5,210.0,4150.0,0,7.63884,-25.52627,1,0,0
25,1,382,46.4,17.8,191.0,3700.0,0,9.37369,-24.52896,0,1,0
306,1,18,38.1,17.6,187.0,3425.0,0,8.717,-25.77951,0,1,0
272,1,390,50.4,15.3,224.0,5550.0,1,8.74647,-26.79846,1,0,0
64,1,9,55.9,17.0,228.0,5600.0,1,8.3118,-26.35425,1,0,0
290,1,387,42.0,19.5,200.0,4050.0,1,8.48095,-26.3146,1,0,0
215,1,383,43.5,14.2,220.0,4700.0,0,8.64931,-26.68867,1,0,0
324,1,393,43.8,13.9,208.0,4300.0,0,8.58319,-26.84415,1,0,0
165,1,729,59.6,17.0,230.0,6050.0,1,7.76843,-25.6821,1,0,0
86,1,750,42.5,20.7,197.0,4500.0,1,8.67538,-25.13993,0,0,1
251,1,753,39.5,17.8,188.0,3300.0,0,9.66523,-25.0602,0,1,0
126,1,733,45.5,13.7,214.0,4650.0,0,7.77672,-25.4168,1,0,0
343,1,16,37.7,16.0,183.0,3075.0,0,9.2151,-26.2253,1,0,0
78,1,379,36.2,17.3,187.0,3300.0,0,8.90723,-26.30037,0,1,0
337,1,9,49.9,16.1,213.0,5400.0,1,8.3639,-26.15531,1,0,0
115,0,747,38.9,17.8,181.0,3625.0,0,9.18718,-25.21799,0,0,1
341,1,16,38.6,17.2,199.0,3750.0,0,8.77322,-26.48973,1,0,0
15,1,383,41.1,18.2,192.0,4050.0,1,8.62264,-26.60023,1,0,0
139,1,392,45.3,13.7,210.0,4300.0,0,8.37615,-26.72791,1,0,0
316,0,732,58.0,17.8,181.0,3700.0,0,9.14382,-24.57994,0,1,0
22,0,387,50.5,15.9,225.0,5400.0,1,8.65803,-26.57585,1,0,0
82,1,735,48.7,15.1,222.0,5350.0,1,7.96491,-25.39587,1,0,0
107,1,736,52.0,18.1,201.0,4050.0,1,9.0233,-24.38933,0,1,0
282,1,394,45.2,15.8,215.0,5300.0,1,8.55868,-26.67799,1,0,0
302,1,388,38.3,19.2,189.0,3950.0,1,9.07826,-26.12417,0,1,0
309,1,735,46.3,15.8,215.0,5050.0,1,7.90971,-25.38157,1,0,0
198,1,372,42.5,16.7,187.0,3350.0,0,9.36668,-24.45195,0,1,0
5,1,22,48.1,15.1,209.0,5500.0,1,8.45738,-26.22664,1,0,0
288,1,387,48.7,15.7,208.0,5350.0,1,8.14776,-26.84506,1,0,0
243,1,732,49.2,18.2,195.0,4400.0,1,9.27158,-24.64335,0,1,0
246,1,12,55.8,19.8,207.0,4000.0,1,9.70465,-24.53494,0,1,0
57,1,729,48.5,17.5,191.0,3400.0,1,9.42666,-24.26375,0,1,0
340,1,382,39.7,18.4,190.0,3900.0,1,9.29808,-25.23453,0,0,1
70,1,735,46.8,15.4,215.0,5150.0,1,8.1631,-25.38017,1,0,0
298,1,387,35.0,17.9,190.0,3450.0,0,8.19539,-26.17213,1,0,0
142,0,385,35.9,16.6,190.0,3050.0,0,8.47781,-26.07821,0,0,1
218,1,390,47.5,14.2,209.0,4600.0,0,8.39299,-26.78733,1,0,0
184,1,735,46.7,15.3,219.0,5200.0,1,8.22673,-25.4276,1,0,0
105,1,733,46.1,15.1,215.0,5100.0,1,7.83733,-25.42826,1,0,0
83,1,21,36.8,18.5,193.0,3500.0,0,8.98705,-25.57647,0,1,0
164,0,749,37.6,19.3,181.0,3300.0,0,9.41131,-25.04169,0,1,0
24,0,743,50.0,19.5,196.0,3900.0,1,8.92069,-24.23592,0,1,0
330,0,8,38.5,17.9,190.0,3325.0,0,8.9846,-25.57956,0,0,1
12,1,743,36.0,18.5,186.0,3100.0,0,9.50772,-25.03492,0,1,0
193,1,392,49.8,16.8,230.0,5700.0,1,8.47067,-26.69166,1,0,0
67,1,390,40.9,16.8,191.0,3700.0,0,8.47257,-26.02002,0,0,1
305,0,0,47.2,13.7,214.0,4925.0,0,7.99184,-26.20538,1,0,0
235,1,0,45.5,14.5,212.0,4750.0,0,8.15566,-26.22848,1,0,0
150,1,13,40.6,19.0,199.0,4000.0,1,9.22537,-25.60826,0,0,1
281,1,4,44.5,14.7,214.0,4850.0,0,8.20106,-26.16524,1,0,0
32,1,10,50.2,18.7,198.0,3775.0,0,9.39305,-24.25255,0,1,0
68,1,750,38.7,19.0,195.0,3450.0,0,9.18528,-25.06691,0,0,1
173,1,11,49.8,15.9,229.0,5950.0,1,8.29226,-26.21019,1,0,0
176,1,736,47.0,17.3,185.0,3700.0,0,8.72037,-24.80526,0,1,0
323,1,741,46.0,18.9,195.0,4150.0,0,8.47173,-24.29229,0,1,0
100,1,11,38.1,17.0,181.0,3175.0,0,9.79532,-25.27385,1,0,0
144,1,746,42.2,18.5,180.0,3550.0,0,8.04787,-25.49523,0,1,0
207,1,734,51.3,18.2,197.0,3750.0,1,8.63701,-24.84059,0,1,0
10,1,6,47.5,15.0,218.0,4950.0,0,8.29671,-26.08547,1,0,0
294,1,8,50.7,19.7,203.0,4050.0,1,9.93727,-24.59066,0,1,0
128,1,394,42.9,17.6,196.0,4700.0,1,8.63259,-26.23027,0,0,1
117,1,735,48.7,14.1,210.0,4450.0,0,8.14705,-25.46172,1,0,0
90,1,10,49.3,19.9,203.0,4050.0,1,9.88809,-24.59513,0,1,0
147,1,390,41.1,19.1,188.0,4100.0,1,8.71078,-25.81012,1,0,0
258,1,393,46.2,14.9,221.0,5300.0,1,8.60092,-26.84374,1,0,0
256,1,11,51.3,14.2,218.0,5300.0,1,8.15426,-26.3433,1,0,0
21,1,752,35.3,18.9,187.0,3800.0,0,9.21292,-24.3613,1,0,0
156,1,393,46.4,15.6,221.0,5000.0,1,8.35078,-26.70783,1,0,0
4,1,13,48.4,14.4,203.0,4625.0,0,8.16582,-26.13971,1,0,0
224,1,394,44.9,13.3,213.0,5100.0,0,8.45167,-26.89644,1,0,0
188,1,10,41.5,18.3,195.0,4300.0,1,8.52566,-26.0245,0,0,1
311,1,390,39.6,17.7,186.0,3500.0,0,8.46616,-26.12989,1,0,0
236,1,22,35.0,17.9,192.0,3725.0,0,8.84451,-26.28055,1,0,0
310,1,387,34.5,18.1,187.0,2900.0,0,8.41837,-26.54718,1,0,0
239,1,390,48.6,16.0,230.0,5800.0,1,8.5964,-26.71199,1,0,0
97,1,746,46.0,21.5,194.0,4200.0,1,9.11616,-24.77227,0,0,1
241,1,4,46.8,16.5,189.0,3650.0,0,9.65061,-24.48153,0,1,0
135,1,391,34.0,17.1,185.0,3400.0,0,8.01485,-26.69543,0,1,0
226,1,15,35.6,17.5,191.0,3175.0,0,8.75984,-25.97696,0,1,0
158,0,392,49.6,16.0,225.0,5700.0,1,8.38324,-26.84272,1,0,0
140,1,388,40.3,18.5,196.0,4350.0,1,8.39459,-26.01152,0,1,0
209,1,746,39.2,21.1,196.0,4150.0,1,9.15308,-25.03469,0,1,0
53,1,753,40.9,18.9,184.0,3900.0,1,8.79665,-25.14591,0,1,0
299,1,393,50.5,15.9,222.0,5550.0,1,8.46894,-26.60436,1,0,0
110,1,383,45.7,13.9,214.0,4400.0,0,8.6287,-26.60484,1,0,0
262,0,15,37.0,16.5,185.0,3400.0,0,8.61651,-26.07021,0,1,0
313,1,382,52.0,20.7,210.0,4800.0,1,9.43146,-24.6844,0,1,0
180,1,735,43.3,13.4,209.0,4400.0,0,8.13643,-25.32176,1,0,0
199,1,733,47.8,15.0,215.0,5650.0,1,7.92358,-25.48383,1,0,0
318,1,749,36.0,17.9,190.0,3450.0,0,9.51784,-25.07683,0,1,0
77,1,18,36.6,18.4,184.0,3475.0,0,8.68744,-25.8306,0,1,0
50,1,390,37.2,19.4,184.0,3900.0,1,8.3554,-26.44787,0,0,1
163,1,13,44.1,18.0,210.0,4000.0,1,9.10702,-26.01363,0,0,1
242,1,16,37.8,20.0,190.0,4250.0,1,9.51929,-25.69199,1,0,0
49,1,382,45.5,17.0,196.0,3500.0,0,9.36493,-24.66259,0,1,0
124,1,392,48.5,14.1,220.0,5300.0,1,8.39867,-26.79358,1,0,0
113,1,14,50.8,18.5,201.0,4450.0,1,9.45827,-24.35575,0,1,0
37,1,372,46.2,17.5,187.0,3650.0,0,9.61734,-24.66188,0,1,0
136,0,385,41.8,19.4,198.0,4450.0,1,8.86853,-26.06209,0,0,1
122,1,16,47.4,14.6,212.0,4725.0,0,8.19101,-26.24369,1,0,0
19,1,388,42.8,18.5,195.0,4250.0,1,8.2993,-26.38986,0,0,1
321,1,750,37.7,18.7,180.0,3600.0,1,8.66271,-25.0639,1,0,0
219,0,371,50.5,18.4,200.0,3400.0,0,8.9399,-23.89017,0,1,0
328,1,6,47.5,14.0,212.0,4875.0,0,8.12691,-26.23613,1,0,0
73,1,13,49.1,15.0,228.0,5500.0,1,8.65914,-25.79203,1,0,0
211,1,732,46.4,18.6,190.0,3450.0,0,9.32105,-24.64162,0,1,0
195,1,14,50.9,17.9,196.0,3675.0,0,9.43684,-24.16566,0,1,0
331,1,14,41.5,18.5,201.0,4000.0,1,8.8964,-26.06967,0,1,0
